Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
03/25/2025,AQS,180030015,3,7.7,ug/m3 LC,43,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
03/26/2025,AQS,180030015,3,5.4,ug/m3 LC,30,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
03/27/2025,AQS,180030015,3,10,ug/m3 LC,53,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
03/28/2025,AQS,180030015,3,12.6,ug/m3 LC,58,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
03/29/2025,AQS,180030015,3,13.3,ug/m3 LC,59,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
03/30/2025,AQS,180030015,3,7.2,ug/m3 LC,40,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
03/31/2025,AQS,180030015,3,2.6,ug/m3 LC,14,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
04/01/2025,AQS,180030015,3,4.9,ug/m3 LC,27,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
04/02/2025,AQS,180030015,3,6.6,ug/m3 LC,37,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
04/03/2025,AQS,180030015,3,4.1,ug/m3 LC,23,Fort Wayne- Coliseum,1,100,88101,PM2.5 - Local Conditions,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,23060,"Fort Wayne, IN",18,Indiana,3,Allen,41.08186406,-85.08831305
